"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"207",0.181,0.741,209423,0.726,0.000189,0.111,-3.77,0,0.143,163.991,0.527,3,4,"1"
"208",0.0545,0.616,227360,0.778,0,0.142,-4.927,0,0.0387,83.065,0.655,7,4,"1"
"209",0.0577,0.653,219200,0.799,0,0.221,-5.359,1,0.163,160.017,0.945,7,4,"1"
"210",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"1"
"211",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"1"
"212",0.421,0.851,266840,0.525,0,0.111,-5.221,0,0.0874,97.988,0.405,2,4,"1"
"213",0.181,0.741,209423,0.726,0.000189,0.111,-3.77,0,0.143,163.991,0.527,3,4,"1"
"214",0.0506,0.775,182667,0.825,1.03e-06,0.111,-5.402,1,0.0464,139.091,0.95,7,4,"1"
"215",0.634,0.566,241693,0.664,0,0.116,-5.303,0,0.0464,128.945,0.437,4,4,"1"
"216",0.568,0.479,172724,0.419,0.000217,0.11,-6.517,1,0.0389,85.014,0.186,0,4,"1"
"217",0.634,0.566,241693,0.664,0,0.116,-5.303,0,0.0464,128.945,0.437,4,4,"1"
"218",0.0577,0.653,219200,0.799,0,0.221,-5.359,1,0.163,160.017,0.945,7,4,"1"
"219",0.0197,0.399,216120,0.787,6.07e-05,0.0685,-2.88,1,0.0499,117.089,0.572,1,5,"1"
"220",0.0476,0.811,188754,0.879,1.91e-06,0.109,-3.724,1,0.0514,134.064,0.962,9,4,"1"
"221",0.00801,0.856,269667,0.609,8.15e-05,0.0344,-7.223,1,0.0824,114.988,0.928,0,4,"1"
"222",0.0664,0.73,209160,0.669,3.63e-05,0.0822,-3.494,1,0.0318,110.04,0.383,5,4,"1"
"223",0.0545,0.616,227360,0.778,0,0.142,-4.927,0,0.0387,83.065,0.655,7,4,"1"
"224",0.0664,0.73,209160,0.669,3.63e-05,0.0822,-3.494,1,0.0318,110.04,0.383,5,4,"1"
"225",0.283,0.703,199320,0.747,0,0.396,-4.446,0,0.0895,149.974,0.7,0,4,"1"
"226",0.0577,0.653,219200,0.799,0,0.221,-5.359,1,0.163,160.017,0.945,7,4,"1"
